Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
421356337,000001C2,false,Rx,0,8,22,22,92,22,22,22,42,22,
421357895,000001C1,false,Rx,0,8,22,22,92,22,22,22,42,22,
421361564,000001C0,false,Rx,0,8,22,22,92,22,22,22,42,22,
421364809,00000203,false,Rx,0,8,35,35,40,45,3B,00,00,00,
421370746,00000103,false,Rx,0,8,00,00,00,10,00,00,40,C6,
421380390,00000202,false,Rx,0,8,35,36,40,43,3C,00,00,00,
421382030,00000201,false,Rx,0,8,35,35,40,41,3D,00,00,00,
421385482,000001D4,false,Rx,0,8,22,99,29,22,22,22,99,99,
421385693,00000200,false,Rx,0,8,34,35,40,3D,3C,00,00,00,
421386400,00000102,false,Rx,0,8,00,00,00,10,00,00,50,6E,
421387959,00000101,false,Rx,0,8,00,00,00,10,00,00,50,C1,
421391625,00000100,false,Rx,0,8,00,00,00,10,00,00,50,A4,
421397559,00000104,false,Rx,0,8,00,00,00,10,00,00,70,AA,
421401053,00000105,false,Rx,0,8,00,00,00,10,00,00,90,7D,
28463,000001C4,false,Rx,0,8,22,22,92,22,22,22,42,22,
31797,00000103,false,Rx,0,8,00,00,00,10,00,00,50,0B,
47453,00000102,false,Rx,0,8,00,00,00,10,00,00,60,24,
48926,00000101,false,Rx,0,8,00,00,00,10,00,00,60,8B,
52500,00000204,false,Rx,0,8,35,35,40,39,3D,00,00,00,
52711,00000100,false,Rx,0,8,00,00,00,10,00,00,60,EE,
56034,00000205,false,Rx,0,8,34,34,40,46,3C,00,00,00,
58515,00000104,false,Rx,0,8,00,00,00,10,00,00,80,D5,
62010,00000105,false,Rx,0,8,00,00,00,10,00,00,A0,37,
75749,00000203,false,Rx,0,8,35,35,40,45,3B,00,00,00,
81774,00000103,false,Rx,0,8,00,00,00,10,00,00,60,41,
91500,00000202,false,Rx,0,8,35,36,40,43,3D,00,00,00,
93056,00000201,false,Rx,0,8,35,35,40,41,3D,00,00,00,
96663,00000200,false,Rx,0,8,34,35,40,3D,3C,00,00,00,
97646,00000102,false,Rx,0,8,00,00,00,10,00,00,70,E9,
99030,00000101,false,Rx,0,8,00,00,00,10,00,00,70,46,
99911,000001D5,false,Rx,0,8,22,99,29,22,22,22,99,99,
102648,00000100,false,Rx,0,8,00,00,00,10,00,00,70,23,
108497,00000104,false,Rx,0,8,00,00,00,10,00,00,90,18,
111909,00000105,false,Rx,0,8,00,00,00,10,00,00,B0,FA,
119901,000001D3,false,Rx,0,8,22,99,29,22,22,22,99,99,
131837,00000103,false,Rx,0,8,00,00,00,10,00,00,70,8C,
132124,000001C5,false,Rx,0,8,22,22,92,22,22,22,42,22,
135454,000001D2,false,Rx,0,8,22,99,29,22,22,22,99,99,
136926,000001D1,false,Rx,0,8,22,99,29,22,22,22,99,99,
140583,000001D0,false,Rx,0,8,22,99,29,22,22,22,99,99,
147471,00000102,false,Rx,0,8,00,00,00,10,00,00,80,96,
148946,00000101,false,Rx,0,8,00,00,00,10,00,00,80,39,
151767,000001C3,false,Rx,0,8,22,22,92,22,22,22,42,22,
152557,00000204,false,Rx,0,8,35,35,40,3A,3D,00,00,00,
152770,00000100,false,Rx,0,8,00,00,00,10,00,00,80,5C,
155923,00000205,false,Rx,0,8,34,34,40,46,3C,00,00,00,
158569,00000104,false,Rx,0,8,00,00,00,10,00,00,A0,52,
161982,00000105,false,Rx,0,8,00,00,00,10,00,00,C0,A3,
167515,000001C2,false,Rx,0,8,22,22,92,22,22,22,42,22,
168903,000001C1,false,Rx,0,8,22,22,92,22,22,22,42,22,
172468,000001C0,false,Rx,0,8,22,22,92,22,22,22,42,22,
175803,00000203,false,Rx,0,8,35,35,40,45,3B,00,00,00,
181827,00000103,false,Rx,0,8,00,00,00,10,00,00,80,F3,
191473,00000202,false,Rx,0,8,35,36,40,43,3C,00,00,00,
192946,00000201,false,Rx,0,8,35,35,40,41,3D,00,00,00,
196432,000001D4,false,Rx,0,8,22,99,29,22,22,22,99,99,
196642,00000200,false,Rx,0,8,34,35,40,3D,3C,00,00,00,
197515,00000102,false,Rx,0,8,00,00,00,10,00,00,90,5B,
198938,00000101,false,Rx,0,8,00,00,00,10,00,00,90,F4,
202524,00000100,false,Rx,0,8,00,00,00,10,00,00,90,91,
208465,00000104,false,Rx,0,8,00,00,00,10,00,00,B0,9F,
211986,00000105,false,Rx,0,8,00,00,00,10,00,00,D0,6E,
228495,000001C4,false,Rx,0,8,22,22,92,22,22,22,42,22,
231906,00000103,false,Rx,0,8,00,00,00,10,00,00,90,3E,
247538,00000102,false,Rx,0,8,00,00,00,10,00,00,A0,11,
248928,00000101,false,Rx,0,8,00,00,00,10,00,00,A0,BE,
252500,00000204,false,Rx,0,8,35,35,40,3A,3D,00,00,00,
252795,00000100,false,Rx,0,8,00,00,00,10,00,00,A0,DB,
256118,00000205,false,Rx,0,8,34,34,40,46,3C,00,00,00,
258515,00000104,false,Rx,0,8,00,00,00,10,00,00,C0,C6,
262093,00000105,false,Rx,0,8,00,00,00,10,00,00,E0,24,
275910,00000203,false,Rx,0,8,35,35,40,45,3B,00,00,00,
281851,00000103,false,Rx,0,8,00,00,00,10,00,00,A0,74,
291442,00000202,false,Rx,0,8,35,36,40,43,3C,00,00,00,
292832,00000201,false,Rx,0,8,35,35,40,41,3D,00,00,00,
296665,00000200,false,Rx,0,8,34,35,40,3D,3C,00,00,00,
297457,00000102,false,Rx,0,8,00,00,00,10,00,00,B0,DC,
298932,00000101,false,Rx,0,8,00,00,00,10,00,00,B0,73,
299980,000001D5,false,Rx,0,8,22,99,29,22,22,22,99,99,
302579,00000100,false,Rx,0,8,00,00,00,10,00,00,B0,16,
308518,00000104,false,Rx,0,8,00,00,00,10,00,00,D0,0B,
312015,00000105,false,Rx,0,8,00,00,00,10,00,00,00,96,
319897,000001D3,false,Rx,0,8,22,99,29,22,22,22,99,99,
331980,00000103,false,Rx,0,8,00,00,00,10,00,00,B0,B9,
332183,000001C5,false,Rx,0,8,22,22,92,22,22,22,42,22,
335506,000001D2,false,Rx,0,8,22,99,29,22,22,22,99,99,
336897,000001D1,false,Rx,0,8,22,99,29,22,22,22,99,99,
340648,000001D0,false,Rx,0,8,22,99,29,22,22,22,99,99,
347521,00000102,false,Rx,0,8,00,00,00,10,00,00,C0,85,
348994,00000101,false,Rx,0,8,00,00,00,10,00,00,C0,2A,
351899,000001C3,false,Rx,0,8,22,22,92,22,22,22,42,22,
352613,00000204,false,Rx,0,8,35,35,40,3A,3D,00,00,00,
352900,00000100,false,Rx,0,8,00,00,00,10,00,00,C0,4F,
355887,00000205,false,Rx,0,8,34,34,40,46,3C,00,00,00,
358537,00000104,false,Rx,0,8,00,00,00,10,00,00,E0,41,
361952,00000105,false,Rx,0,8,00,00,00,10,00,00,10,5B,
367488,000001C2,false,Rx,0,8,22,22,92,22,22,22,42,22,
368879,000001C1,false,Rx,0,8,22,22,92,22,22,22,42,22,
372552,000001C0,false,Rx,0,8,22,22,92,22,22,22,42,22,
376036,00000203,false,Rx,0,8,35,35,40,45,3B,00,00,00,
382058,00000103,false,Rx,0,8,00,00,00,10,00,00,C0,E0,
391369,00000202,false,Rx,0,8,35,36,40,43,3C,00,00,00,
393011,00000201,false,Rx,0,8,35,35,40,41,3D,00,00,00,
396501,000001D4,false,Rx,0,8,22,99,29,22,22,22,99,99,
396712,00000200,false,Rx,0,8,34,35,40,3D,3C,00,00,00,
397418,00000102,false,Rx,0,8,00,00,00,10,00,00,D0,48,
398975,00000101,false,Rx,0,8,00,00,00,10,00,00,D0,E7,
402579,00000100,false,Rx,0,8,00,00,00,10,00,00,D0,82,
408527,00000104,false,Rx,0,8,00,00,00,10,00,00,00,F3,
411940,00000105,false,Rx,0,8,00,00,00,10,00,00,20,11,
428412,000001C4,false,Rx,0,8,22,22,92,22,22,22,42,22,
432159,00000103,false,Rx,0,8,00,00,00,10,00,00,D0,2D,
447377,00000102,false,Rx,0,8,00,00,00,10,00,00,E0,02,
449104,00000101,false,Rx,0,8,00,00,00,10,00,00,E0,AD,
452431,00000204,false,Rx,0,8,35,35,40,3A,3D,00,00,00,
452726,00000100,false,Rx,0,8,00,00,00,10,00,00,E0,C8,
455966,00000205,false,Rx,0,8,34,34,40,46,3C,00,00,00,
458448,00000104,false,Rx,0,8,00,00,00,10,00,00,10,3E,
462030,00000105,false,Rx,0,8,00,00,00,10,00,00,30,DC,
476111,00000203,false,Rx,0,8,35,35,40,45,3B,00,00,00,
482191,00000103,false,Rx,0,8,00,00,00,10,00,00,E0,67,
491250,00000202,false,Rx,0,8,35,36,40,43,3D,00,00,00,
492976,00000201,false,Rx,0,8,35,35,40,41,3D,00,00,00,
496643,00000200,false,Rx,0,8,34,35,40,3D,3C,00,00,00,
497264,00000102,false,Rx,0,8,00,00,00,10,00,00,00,B0,
498988,00000101,false,Rx,0,8,00,00,00,10,00,00,00,1F,
499954,000001D5,false,Rx,0,8,22,99,29,22,22,22,99,99,
502610,00000100,false,Rx,0,8,00,00,00,10,00,00,00,7A,
